SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 29-Jun-2017, 36.85, 37.80, 38.70, 37.20, 38.20, 38.05, 38.00, 29271, 11.12, 193, 18965, 64.79
3IINFOTECH, EQ, 29-Jun-2017, 4.55, 4.80, 4.80, 4.25, 4.35, 4.35, 4.42, 9029097, 399.49, 2282, 4577232, 50.69
3MINDIA, EQ, 29-Jun-2017, 13266.70, 13300.00, 13495.00, 13190.00, 13492.00, 13409.90, 13293.17, 852, 113.26, 208, 641, 75.23
63MOONS, EQ, 29-Jun-2017, 61.00, 61.00, 67.45, 60.60, 63.90, 63.75, 64.18, 128611, 82.55, 1915, 44648, 34.72
8KMILES, EQ, 29-Jun-2017, 537.45, 535.30, 546.65, 535.00, 542.05, 540.45, 541.63, 58687, 317.87, 1452, 35341, 60.22
A2ZINFRA, EQ, 29-Jun-2017, 42.00, 42.30, 43.45, 42.10, 42.85, 42.70, 42.81, 395134, 169.14, 2145, 168171, 42.56
AARTIDRUGS, EQ, 29-Jun-2017, 521.85, 529.95, 529.95, 520.05, 524.05, 522.45, 524.38, 5129, 26.90, 401, 2777, 54.14
AARTIIND, EQ, 29-Jun-2017, 891.30, 897.95, 910.00, 894.40, 906.00, 906.25, 902.14, 32517, 293.35, 3533, 20675, 63.58
AARVEEDEN, EQ, 29-Jun-2017, 59.50, 59.80, 61.40, 59.50, 60.15, 60.60, 60.22, 9677, 5.83, 83, 6309, 65.20
ABAN, EQ, 29-Jun-2017, 182.10, 185.05, 194.55, 185.05, 188.45, 188.50, 191.02, 2026859, 3871.67, 21214, 321193, 15.85
ABB, EQ, 29-Jun-2017, 1452.00, 1452.00, 1480.00, 1435.00, 1445.00, 1441.80, 1461.87, 34870, 509.76, 2679, 8383, 24.04
ABBOTINDIA, EQ, 29-Jun-2017, 4236.10, 4255.00, 4298.00, 4200.00, 4218.75, 4222.35, 4237.70, 822, 34.83, 260, 592, 72.02
ABFRL, EQ, 29-Jun-2017, 166.55, 167.20, 173.80, 167.20, 173.70, 172.40, 170.60, 456334, 778.48, 5051, 356593, 78.14
ABGSHIP, BZ, 29-Jun-2017, 13.85, 14.50, 14.50, 14.50, 14.50, 14.50, 14.50, 42346, 6.14, 85, -, -
ABIRLANUVO, EQ, 29-Jun-2017, 1804.45, 1815.70, 1834.00, 1803.70, 1812.00, 1819.95, 1822.70, 1102392, 20093.29, 16342, 668947, 60.68
ABMINTLTD, BE, 29-Jun-2017, 96.35, 92.00, 92.00, 91.90, 91.90, 91.90, 91.90, 22, 0.02, 4, -, -
ACC, EQ, 29-Jun-2017, 1580.05, 1591.65, 1611.90, 1572.10, 1579.95, 1579.95, 1589.85, 473658, 7530.45, 17777, 189101, 39.92
ACCELYA, EQ, 29-Jun-2017, 1331.00, 1311.00, 1349.00, 1311.00, 1320.10, 1320.55, 1328.30, 856, 11.37, 325, 600, 70.09
ACE, EQ, 29-Jun-2017, 68.80, 71.80, 71.80, 68.70, 68.90, 69.25, 69.74, 221600, 154.55, 1420, 61242, 27.64
ADANIENT, EQ, 29-Jun-2017, 134.40, 135.00, 135.60, 132.60, 134.00, 133.25, 133.87, 4347591, 5820.09, 18592, 889883, 20.47
ADANIPORTS, EQ, 29-Jun-2017, 364.50, 366.95, 368.70, 362.35, 364.60, 364.50, 364.46, 3343365, 12185.23, 37441, 2153283, 64.40
ADANIPOWER, EQ, 29-Jun-2017, 28.25, 28.70, 29.40, 28.35, 29.20, 29.10, 28.80, 11046987, 3182.04, 19915, 2506068, 22.69
ADANITRANS, EQ, 29-Jun-2017, 123.25, 124.05, 125.00, 121.70, 124.05, 124.00, 123.97, 950043, 1177.72, 4354, 741939, 78.10
ADFFOODS, EQ, 29-Jun-2017, 247.95, 248.90, 258.70, 248.90, 253.25, 252.35, 253.72, 175115, 444.30, 2820, 79262, 45.26
ADHUNIK, EQ, 29-Jun-2017, 5.80, 6.00, 6.05, 5.80, 5.80, 5.80, 5.90, 32477, 1.92, 1111, 23641, 72.79
ADHUNIKIND, EQ, 29-Jun-2017, 100.45, 101.50, 101.65, 99.70, 100.45, 100.40, 100.81, 259556, 261.66, 1111, 107549, 41.44
ADLABS, EQ, 29-Jun-2017, 76.75, 77.10, 78.90, 76.00, 76.35, 76.40, 77.25, 465479, 359.60, 3750, 201960, 43.39
ADORWELD, EQ, 29-Jun-2017, 370.10, 372.00, 377.75, 367.00, 368.50, 373.35, 375.12, 7880, 29.56, 370, 3010, 38.20
ADSL, BE, 29-Jun-2017, 25.35, 24.55, 25.40, 24.55, 25.10, 25.10, 25.03, 5497, 1.38, 40, -, -
ADVANIHOTR, EQ, 29-Jun-2017, 56.55, 58.50, 59.70, 55.90, 56.85, 56.45, 56.94, 5049, 2.87, 67, 4006, 79.34
ADVENZYMES, EQ, 29-Jun-2017, 323.05, 325.80, 333.00, 323.05, 325.50, 326.40, 328.14, 211583, 694.30, 5210, 88349, 41.76
AEGISCHEM, EQ, 29-Jun-2017, 185.15, 186.00, 191.00, 185.00, 186.50, 187.30, 187.88, 242429, 455.49, 1882, 180264, 74.36
AFL, BE, 29-Jun-2017, 51.00, 53.25, 53.25, 48.45, 48.95, 48.95, 49.10, 5262, 2.58, 36, -, -
AGARIND, BE, 29-Jun-2017, 678.00, 671.00, 705.00, 671.00, 675.00, 675.00, 677.09, 211, 1.43, 9, -, -
AGCNET, BE, 29-Jun-2017, 123.10, 122.00, 128.95, 120.50, 124.50, 124.50, 125.20, 1290, 1.62, 14, -, -
AGRITECH, EQ, 29-Jun-2017, 55.80, 55.90, 58.50, 55.00, 58.10, 57.65, 56.52, 57678, 32.60, 210, 49468, 85.77
AHLEAST, EQ, 29-Jun-2017, 290.00, 287.00, 290.00, 286.00, 290.00, 289.95, 288.46, 1788, 5.16, 37, 1013, 56.66
AHLUCONT, EQ, 29-Jun-2017, 321.95, 317.25, 326.50, 317.25, 320.00, 320.90, 320.42, 21337, 68.37, 277, 19677, 92.22
AHLWEST, EQ, 29-Jun-2017, 165.00, 160.00, 169.00, 155.10, 165.00, 165.00, 163.45, 451, 0.74, 37, 298, 66.08
AIAENG, EQ, 29-Jun-2017, 1354.80, 1362.50, 1389.15, 1342.60, 1382.00, 1384.30, 1354.88, 173692, 2353.32, 7514, 142093, 81.81
AICHAMP, BE, 29-Jun-2017, 23.40, 24.55, 24.55, 24.55, 24.55, 24.55, 24.55, 100, 0.02, 1, -, -
AIFL, EQ, 29-Jun-2017, 422.20, 422.20, 426.60, 406.00, 410.15, 412.45, 415.11, 107573, 446.55, 2267, 57577, 53.52
AIRAN, SM, 29-Jun-2017, 153.85, 151.05, 158.40, 151.05, 152.50, 155.45, 153.98, 9000, 13.86, 3, 6000, 66.67
AJANTPHARM, EQ, 29-Jun-2017, 1548.25, 1550.50, 1565.00, 1538.00, 1549.95, 1547.10, 1553.38, 91246, 1417.40, 5360, 28821, 31.59
AJMERA, EQ, 29-Jun-2017, 218.80, 219.20, 223.90, 218.00, 223.00, 222.65, 221.55, 42096, 93.26, 1654, 20098, 47.74
AKASH, SM, 29-Jun-2017, 100.00, 89.25, 91.10, 89.10, 91.10, 91.10, 89.82, 3000, 2.69, 3, 0, 0.00
AKSHARCHEM, EQ, 29-Jun-2017, 757.10, 765.00, 803.00, 750.10, 780.05, 789.50, 776.09, 8691, 67.45, 761, 5101, 58.69
AKSHOPTFBR, EQ, 29-Jun-2017, 17.05, 17.20, 17.55, 17.15, 17.35, 17.40, 17.31, 371280, 64.29, 821, 205934, 55.47
AKZOINDIA, EQ, 29-Jun-2017, 1839.45, 1863.95, 1863.95, 1819.00, 1832.45, 1825.95, 1827.24, 4927, 90.03, 651, 2659, 53.97
ALANKIT, BE, 29-Jun-2017, 33.30, 33.85, 33.85, 33.05, 33.50, 33.55, 33.55, 286546, 96.14, 311, -, -
ALBERTDAVD, EQ, 29-Jun-2017, 310.85, 321.30, 321.30, 311.00, 311.05, 311.30, 315.10, 2126, 6.70, 74, 1676, 78.83
ALBK, EQ, 29-Jun-2017, 67.00, 68.10, 68.70, 66.60, 68.50, 68.20, 67.72, 3875456, 2624.54, 11822, 1175524, 30.33
ALCHEM, EQ, 29-Jun-2017, 15.25, 15.45, 15.80, 15.10, 15.35, 15.30, 15.38, 5375, 0.83, 62, 3085, 57.40
ALEMBICLTD, EQ, 29-Jun-2017, 38.35, 38.55, 39.40, 38.45, 38.75, 38.60, 38.78, 313817, 121.70, 1224, 205836, 65.59
ALICON, EQ, 29-Jun-2017, 485.50, 504.00, 504.00, 478.00, 480.10, 482.05, 488.10, 2551, 12.45, 152, 1920, 75.26
ALKALI, EQ, 29-Jun-2017, 62.60, 64.50, 65.00, 62.90, 64.00, 63.45, 63.92, 2560, 1.64, 66, 1510, 58.98
ALKEM, EQ, 29-Jun-2017, 1835.45, 1834.55, 1862.00, 1830.00, 1862.00, 1856.25, 1847.16, 13691, 252.89, 2061, 7029, 51.34
ALKYLAMINE, EQ, 29-Jun-2017, 378.80, 382.00, 389.65, 377.95, 379.60, 378.85, 382.84, 2119, 8.11, 175, 1551, 73.19
ALLCARGO, EQ, 29-Jun-2017, 171.45, 172.30, 174.05, 171.05, 171.50, 171.45, 172.51, 168515, 290.71, 1604, 86722, 51.46
ALLSEC, EQ, 29-Jun-2017, 326.05, 324.00, 330.00, 320.55, 324.80, 325.00, 325.94, 4197, 13.68, 237, 3046, 72.58
ALMONDZ, EQ, 29-Jun-2017, 18.35, 18.80, 19.95, 18.40, 19.00, 18.75, 19.03, 26212, 4.99, 131, 12081, 46.09
ALOKTEXT, EQ, 29-Jun-2017, 2.60, 2.60, 2.65, 2.50, 2.55, 2.55, 2.54, 5777262, 146.98, 1609, 3132319, 54.22
ALPA, BE, 29-Jun-2017, 30.35, 31.25, 31.25, 29.90, 30.10, 30.15, 30.17, 11549, 3.48, 59, -, -
ALPHAGEO, EQ, 29-Jun-2017, 811.00, 812.00, 844.00, 810.40, 825.80, 822.70, 826.58, 47429, 392.04, 2109, 24563, 51.79
ALPSINDUS, EQ, 29-Jun-2017, 6.10, 6.15, 6.50, 6.00, 6.40, 6.45, 6.28, 37792, 2.37, 67, 33765, 89.34
AMARAJABAT, EQ, 29-Jun-2017, 839.40, 839.00, 851.65, 835.05, 837.00, 837.40, 842.78, 267665, 2255.84, 6498, 132567, 49.53
AMBIKCO, EQ, 29-Jun-2017, 1253.05, 1257.10, 1272.00, 1257.05, 1264.00, 1260.15, 1264.73, 706, 8.93, 161, 534, 75.64
AMBUJACEM, EQ, 29-Jun-2017, 245.65, 245.65, 248.90, 244.20, 247.40, 246.90, 247.02, 6508472, 16076.94, 45223, 3775151, 58.00
AMDIND, EQ, 29-Jun-2017, 26.05, 26.40, 27.00, 26.20, 26.50, 26.65, 26.53, 11509, 3.05, 59, 8713, 75.71
AMRUTANJAN, EQ, 29-Jun-2017, 678.35, 685.50, 690.00, 676.95, 678.75, 679.35, 681.81, 5011, 34.17, 309, 4435, 88.51
AMTEKAUTO, EQ, 29-Jun-2017, 29.50, 30.95, 30.95, 30.95, 30.95, 30.95, 30.95, 550548, 170.39, 1121, 550545, 100.00
ANANTRAJ, EQ, 29-Jun-2017, 57.85, 58.45, 59.50, 58.15, 59.05, 58.95, 58.80, 673915, 396.30, 3218, 239808, 35.58
ANDHRABANK, EQ, 29-Jun-2017, 53.95, 54.70, 54.80, 53.65, 54.25, 54.00, 54.17, 3603191, 1951.93, 6451, 1233988, 34.25
ANDHRACEMT, EQ, 29-Jun-2017, 8.90, 9.00, 9.20, 8.95, 9.05, 9.00, 9.04, 74764, 6.76, 129, 55270, 73.93
ANDHRSUGAR, EQ, 29-Jun-2017, 330.20, 331.00, 338.40, 330.60, 337.90, 337.20, 335.66, 29610, 99.39, 636, 21412, 72.31
ANGIND, EQ, 29-Jun-2017, 7.30, 7.15, 7.60, 7.15, 7.30, 7.25, 7.28, 16285, 1.19, 65, 11979, 73.56
ANIKINDS, BE, 29-Jun-2017, 25.50, 26.00, 26.00, 25.15, 25.50, 25.50, 25.46, 705, 0.18, 10, -, -
ANKITMETAL, EQ, 29-Jun-2017, 1.20, 1.25, 1.40, 1.20, 1.35, 1.35, 1.34, 226169, 3.04, 151, 78690, 34.79
ANSALAPI, EQ, 29-Jun-2017, 27.60, 27.90, 28.95, 27.50, 28.50, 28.65, 28.61, 920637, 263.44, 3307, 325690, 35.38
ANSALHSG, EQ, 29-Jun-2017, 26.90, 27.45, 27.90, 26.85, 27.60, 27.40, 27.43, 61834, 16.96, 329, 38913, 62.93
ANTGRAPHIC, BE, 29-Jun-2017, 1.50, 1.45, 1.55, 1.45, 1.55, 1.55, 1.52, 187150, 2.85, 40, -, -
APARINDS, EQ, 29-Jun-2017, 751.50, 753.70, 770.95, 749.00, 755.00, 757.25, 759.57, 9239, 70.18, 995, 6107, 66.10
APCL, EQ, 29-Jun-2017, 217.20, 224.95, 224.95, 218.15, 220.90, 220.40, 221.73, 1499, 3.32, 51, 1304, 86.99
APCOTEXIND, EQ, 29-Jun-2017, 395.90, 401.30, 406.40, 395.00, 401.75, 401.00, 401.31, 14487, 58.14, 1279, 10000, 69.03
APLAPOLLO, EQ, 29-Jun-2017, 1521.15, 1532.00, 1566.20, 1524.95, 1525.05, 1536.25, 1547.36, 13746, 212.70, 1142, 10772, 78.36
APLLTD, EQ, 29-Jun-2017, 505.15, 507.00, 508.55, 503.95, 505.00, 505.20, 505.06, 83733, 422.90, 2814, 62369, 74.49
APOLLOHOSP, EQ, 29-Jun-2017, 1276.35, 1275.00, 1307.00, 1275.00, 1278.00, 1278.85, 1286.95, 793401, 10210.70, 18353, 533858, 67.29
APOLLOTYRE, EQ, 29-Jun-2017, 244.30, 246.50, 247.30, 241.85, 242.60, 242.90, 244.47, 2014274, 4924.20, 16875, 431614, 21.43
APOLSINHOT, EQ, 29-Jun-2017, 789.00, 770.00, 789.75, 770.00, 789.75, 789.75, 780.26, 39, 0.30, 8, 39, 100.00
APTECHT, EQ, 29-Jun-2017, 191.90, 192.15, 197.30, 192.15, 195.00, 194.00, 194.41, 251166, 488.29, 3800, 84949, 33.82
ARCHIDPLY, EQ, 29-Jun-2017, 86.00, 86.75, 92.20, 86.75, 88.00, 88.30, 89.91, 156865, 141.03, 1812, 66503, 42.40
ARCHIES, EQ, 29-Jun-2017, 30.60, 31.00, 31.25, 30.30, 30.50, 30.50, 30.78, 54776, 16.86, 300, 31669, 57.82
ARCOTECH, EQ, 29-Jun-2017, 97.45, 97.25, 101.80, 79.00, 81.80, 80.90, 86.31, 5402148, 4662.79, 31616, 1474866, 27.30
ARIES, EQ, 29-Jun-2017, 150.05, 151.95, 153.70, 150.35, 151.00, 151.50, 151.97, 39801, 60.49, 797, 22218, 55.82
ARIHANT, BE, 29-Jun-2017, 57.00, 54.15, 54.15, 54.15, 54.15, 54.15, 54.15, 2, 0.00, 1, -, -
ARIHANTSUP, EQ, 29-Jun-2017, 184.25, 185.65, 187.55, 185.20, 187.00, 185.35, 186.17, 676536, 1259.50, 5086, 87673, 12.96
ARMANFIN, EQ, 29-Jun-2017, 188.95, 189.55, 192.95, 189.20, 191.10, 191.10, 191.21, 1430, 2.73, 69, 1185, 82.87
AROGRANITE, EQ, 29-Jun-2017, 73.00, 72.60, 76.45, 72.60, 73.35, 74.20, 74.52, 38413, 28.63, 504, 16346, 42.55
ARROWGREEN, EQ, 29-Jun-2017, 555.25, 555.00, 561.70, 545.00, 552.50, 549.90, 551.78, 19313, 106.56, 885, 10129, 52.45
ARROWTEX, EQ, 29-Jun-2017, 44.90, 45.60, 45.60, 44.65, 45.00, 44.85, 45.02, 8677, 3.91, 82, 4994, 57.55
ARSHIYA, EQ, 29-Jun-2017, 67.70, 70.45, 71.50, 67.00, 70.00, 70.50, 70.32, 68721, 48.33, 457, 52272, 76.06
ARSSINFRA, EQ, 29-Jun-2017, 64.80, 65.85, 66.50, 65.00, 65.30, 65.55, 65.75, 105410, 69.30, 3035, 41326, 39.21
ARVIND, EQ, 29-Jun-2017, 356.10, 357.90, 363.55, 357.80, 360.00, 359.35, 360.54, 2163539, 7800.44, 22869, 1177744, 54.44
ARVSMART, EQ, 29-Jun-2017, 133.95, 133.50, 139.95, 133.50, 135.00, 134.40, 135.86, 34382, 46.71, 438, 21581, 62.77
ASAHIINDIA, EQ, 29-Jun-2017, 243.70, 247.15, 247.15, 240.00, 244.00, 245.60, 245.23, 12227, 29.98, 299, 10076, 82.41
ASAHISONG, EQ, 29-Jun-2017, 280.75, 282.95, 297.00, 281.10, 293.70, 294.25, 287.54, 17458, 50.20, 579, 12733, 72.94
ASAL, EQ, 29-Jun-2017, 67.70, 67.75, 73.90, 67.75, 72.00, 72.00, 71.77, 17771, 12.75, 132, 12630, 71.07
ASHAPURMIN, EQ, 29-Jun-2017, 56.25, 57.05, 58.30, 56.40, 56.65, 56.55, 57.35, 31474, 18.05, 363, 18239, 57.95
ASHIANA, EQ, 29-Jun-2017, 190.05, 191.20, 197.80, 191.20, 194.50, 194.45, 194.75, 21705, 42.27, 502, 12906, 59.46
ASHIMASYN, EQ, 29-Jun-2017, 18.75, 18.95, 19.40, 18.75, 18.85, 18.85, 19.01, 93549, 17.78, 441, 46339, 49.53
ASHOKA, EQ, 29-Jun-2017, 183.65, 186.35, 188.00, 182.00, 186.70, 186.65, 185.25, 364933, 676.03, 2190, 327188, 89.66
ASHOKLEY, EQ, 29-Jun-2017, 92.20, 92.75, 94.00, 92.50, 93.65, 93.45, 93.29, 9459842, 8825.26, 26334, 4004689, 42.33
ASIANHOTNR, EQ, 29-Jun-2017, 130.25, 128.05, 130.00, 128.05, 130.00, 130.00, 129.31, 120, 0.16, 8, 70, 58.33
ASIANPAINT, EQ, 29-Jun-2017, 1109.15, 1112.00, 1126.95, 1100.00, 1101.65, 1104.55, 1112.74, 460382, 5122.85, 18531, 204690, 44.46
ASIANTILES, EQ, 29-Jun-2017, 423.55, 424.85, 425.95, 420.85, 424.00, 424.20, 424.33, 47170, 200.16, 812, 26038, 55.20
ASIL, EQ, 29-Jun-2017, 0.80, 0.80, 0.80, 0.75, 0.80, 0.80, 0.80, 103, 0.00, 4, 103, 100.00
ASLIND, SM, 29-Jun-2017, 35.00, 34.00, 34.00, 34.00, 34.00, 34.00, 34.00, 4000, 1.36, 1, 4000, 100.00
ASPINWALL, BE, 29-Jun-2017, 207.95, 208.00, 214.90, 205.00, 205.00, 205.30, 206.18, 1361, 2.81, 14, -, -
ASSAMCO, EQ, 29-Jun-2017, 6.35, 6.35, 7.05, 6.35, 6.65, 6.70, 6.76, 907680, 61.35, 736, 561702, 61.88
ASTEC, EQ, 29-Jun-2017, 556.40, 570.00, 580.05, 562.50, 563.20, 564.40, 571.90, 24657, 141.01, 1104, 9411, 38.17
ASTRAL, EQ, 29-Jun-2017, 688.65, 695.70, 700.70, 679.00, 682.00, 683.00, 689.90, 257249, 1774.76, 1430, 243380, 94.61
ASTRAMICRO, EQ, 29-Jun-2017, 133.80, 135.00, 136.75, 134.30, 135.85, 135.00, 135.42, 203315, 275.33, 2725, 110344, 54.27
ASTRAZEN, EQ, 29-Jun-2017, 910.50, 913.15, 929.95, 903.35, 912.90, 908.60, 913.19, 3924, 35.83, 400, 1685, 42.94
ATFL, EQ, 29-Jun-2017, 495.10, 491.00, 500.00, 491.00, 493.00, 495.15, 496.75, 1045, 5.19, 93, 636, 60.86
ATLANTA, EQ, 29-Jun-2017, 102.45, 102.95, 104.40, 101.60, 101.60, 102.05, 102.84, 88889, 91.41, 1823, 41146, 46.29
ATLASCYCLE, BE, 29-Jun-2017, 370.80, 375.00, 384.00, 370.00, 375.95, 374.35, 373.54, 8628, 32.23, 231, -, -
ATUL, EQ, 29-Jun-2017, 2375.50, 2394.90, 2474.80, 2385.00, 2474.80, 2427.40, 2412.49, 11250, 271.40, 868, 6243, 55.49
ATULAUTO, EQ, 29-Jun-2017, 395.00, 399.50, 402.70, 390.20, 395.55, 395.40, 396.73, 56941, 225.90, 1337, 42152, 74.03
AURIONPRO, EQ, 29-Jun-2017, 119.55, 119.30, 121.40, 118.10, 119.05, 119.50, 120.00, 16086, 19.30, 230, 8389, 52.15
AUROPHARMA, EQ, 29-Jun-2017, 671.55, 675.00, 680.70, 667.50, 674.95, 670.85, 673.37, 3352062, 22571.74, 42432, 1285549, 38.35
AUSOMENT, EQ, 29-Jun-2017, 23.50, 23.50, 25.25, 23.50, 24.50, 24.50, 24.48, 1371, 0.34, 43, 811, 59.15
AUTOAXLES, EQ, 29-Jun-2017, 739.80, 740.00, 774.40, 739.55, 750.00, 753.65, 758.41, 33094, 250.99, 1868, 18149, 54.84
AUTOIND, EQ, 29-Jun-2017, 52.85, 52.80, 54.40, 52.10, 53.60, 53.40, 53.64, 16349, 8.77, 196, 11916, 72.89
AUTOLITIND, EQ, 29-Jun-2017, 61.85, 62.00, 62.95, 60.00, 62.10, 61.90, 61.85, 27619, 17.08, 206, 15514, 56.17
AVANTIFEED, EQ, 29-Jun-2017, 1382.80, 1394.40, 1425.00, 1390.05, 1420.00, 1415.40, 1413.69, 60902, 860.97, 3310, 22095, 36.28
AVTNPL, EQ, 29-Jun-2017, 39.85, 39.50, 40.65, 39.35, 39.75, 39.85, 39.93, 86814, 34.66, 731, 65059, 74.94
AXISBANK, EQ, 29-Jun-2017, 492.00, 498.00, 514.40, 497.70, 510.70, 512.10, 510.39, 11855524, 60508.82, 96263, 4570578, 38.55
AXISCADES, EQ, 29-Jun-2017, 142.20, 142.35, 145.00, 141.80, 144.15, 143.15, 143.05, 36651, 52.43, 1432, 21904, 59.76
AXISGOLD, EQ, 29-Jun-2017, 2530.00, 2534.00, 2534.00, 2500.55, 2514.00, 2514.00, 2513.43, 68, 1.71, 18, 52, 76.47
AYMSYNTEX, EQ, 29-Jun-2017, 75.30, 75.05, 76.90, 75.00, 76.00, 76.15, 76.44, 7496, 5.73, 87, 4629, 61.75
BAFNAPHARM, EQ, 29-Jun-2017, 23.05, 22.70, 23.50, 22.40, 23.35, 23.10, 23.18, 10732, 2.49, 100, 6515, 60.71
BAGFILMS, EQ, 29-Jun-2017, 4.25, 4.25, 4.35, 4.20, 4.30, 4.25, 4.26, 46279, 1.97, 57, 32096, 69.35
BAJAJ-AUTO, EQ, 29-Jun-2017, 2777.05, 2787.80, 2812.00, 2779.25, 2809.00, 2801.30, 2798.13, 224331, 6277.07, 9799, 149071, 66.45
BAJAJCORP, EQ, 29-Jun-2017, 375.40, 376.10, 378.90, 371.50, 375.90, 373.45, 376.71, 22575, 85.04, 1484, 18092, 80.14
BAJAJELEC, EQ, 29-Jun-2017, 325.05, 327.80, 334.95, 325.25, 333.00, 331.80, 331.31, 176646, 585.25, 2832, 106595, 60.34
BAJAJFINSV, EQ, 29-Jun-2017, 4108.15, 4150.00, 4168.70, 4075.00, 4100.00, 4098.75, 4126.17, 142918, 5897.04, 11010, 84673, 59.25
BAJAJHIND, EQ, 29-Jun-2017, 14.35, 14.45, 14.75, 14.45, 14.55, 14.55, 14.63, 1323234, 193.64, 2168, 656263, 49.60
BAJAJHLDNG, EQ, 29-Jun-2017, 2100.55, 2107.95, 2124.60, 2102.00, 2106.70, 2105.70, 2107.32, 6646, 140.05, 1106, 4806, 72.31
BAJFINANCE, EQ, 29-Jun-2017, 1372.35, 1379.00, 1394.85, 1366.50, 1369.65, 1376.30, 1381.08, 726869, 10038.65, 17813, 296476, 40.79
BALAJITELE, EQ, 29-Jun-2017, 133.00, 134.05, 142.90, 133.95, 139.00, 139.40, 139.79, 554657, 775.37, 6037, 188797, 34.04
BALAMINES, EQ, 29-Jun-2017, 328.80, 333.80, 344.00, 326.00, 337.95, 337.60, 336.64, 19456, 65.50, 619, 14098, 72.46
BALKRISHNA, EQ, 29-Jun-2017, 74.35, 74.65, 79.90, 74.65, 76.20, 76.55, 76.65, 6646, 5.09, 149, 4596, 69.15
BALKRISIND, EQ, 29-Jun-2017, 1642.05, 1647.00, 1662.85, 1622.60, 1637.80, 1633.35, 1639.08, 83262, 1364.73, 5765, 29932, 35.95
BALLARPUR, EQ, 29-Jun-2017, 15.55, 15.80, 16.10, 15.55, 16.05, 15.90, 15.77, 484576, 76.42, 908, 233760, 48.24
BALMLAWRIE, EQ, 29-Jun-2017, 216.80, 216.85, 219.05, 216.20, 216.95, 216.60, 217.43, 58990, 128.26, 3369, 35172, 59.62
BALPHARMA, EQ, 29-Jun-2017, 97.45, 97.00, 98.60, 95.25, 95.80, 96.00, 97.09, 17369, 16.86, 392, 9824, 56.56
BALRAMCHIN, EQ, 29-Jun-2017, 149.15, 149.25, 152.35, 148.60, 149.15, 149.90, 150.75, 1295710, 1953.26, 11898, 576801, 44.52
BANARBEADS, EQ, 29-Jun-2017, 70.45, 70.00, 72.00, 70.00, 72.00, 71.75, 71.01, 1719, 1.22, 28, 1121, 65.21
BANARISUG, EQ, 29-Jun-2017, 1751.40, 1799.00, 1799.00, 1765.00, 1780.00, 1780.10, 1774.98, 1106, 19.63, 73, 986, 89.15
BANCOINDIA, EQ, 29-Jun-2017, 216.10, 217.90, 219.90, 217.15, 217.60, 217.85, 218.60, 22745, 49.72, 1473, 8998, 39.56
BANG, EQ, 29-Jun-2017, 37.00, 36.25, 38.00, 36.25, 38.00, 37.95, 37.89, 869, 0.33, 10, 839, 96.55
BANKBARODA, EQ, 29-Jun-2017, 155.60, 156.60, 157.90, 154.85, 156.00, 155.50, 156.36, 8116474, 12690.51, 37367, 2750870, 33.89
BANKBEES, EQ, 29-Jun-2017, 2354.88, 2360.50, 2376.50, 2344.50, 2356.50, 2355.45, 2368.35, 6382, 151.15, 588, 3870, 60.64
BANKINDIA, EQ, 29-Jun-2017, 136.75, 137.25, 141.50, 135.65, 140.90, 138.45, 138.13, 4580182, 6326.61, 20839, 913593, 19.95
BANSWRAS, EQ, 29-Jun-2017, 177.65, 174.25, 177.95, 174.25, 177.95, 177.65, 177.19, 4486, 7.95, 95, 2430, 54.17
BARTRONICS, EQ, 29-Jun-2017, 14.15, 14.05, 14.25, 14.00, 14.10, 14.05, 14.11, 29684, 4.19, 140, 20222, 68.12
BASF, EQ, 29-Jun-2017, 1600.65, 1617.25, 1665.40, 1605.00, 1638.00, 1651.55, 1643.57, 22265, 365.94, 1964, 9995, 44.89
BASML, EQ, 29-Jun-2017, 297.45, 306.95, 306.95, 296.10, 300.00, 300.00, 300.33, 1110, 3.33, 19, 785, 70.72
BATAINDIA, EQ, 29-Jun-2017, 529.05, 529.90, 544.55, 523.00, 524.95, 529.70, 530.86, 324957, 1725.07, 6396, 111394, 34.28
BAYERCROP, EQ, 29-Jun-2017, 4586.85, 4586.90, 4635.00, 4586.90, 4606.00, 4619.60, 4621.34, 2174, 100.47, 586, 1237, 56.90
BBL, EQ, 29-Jun-2017, 1413.45, 1422.50, 1448.00, 1405.25, 1410.00, 1408.95, 1424.75, 34403, 490.16, 2210, 10846, 31.53
BBTC, EQ, 29-Jun-2017, 886.95, 890.00, 901.50, 882.45, 891.00, 887.80, 892.19, 55386, 494.15, 2523, 10920, 19.72
BEARDSELL, EQ, 29-Jun-2017, 54.50, 54.10, 54.50, 51.90, 54.50, 53.40, 53.39, 5146, 2.75, 60, 4694, 91.22
BEDMUTHA, BE, 29-Jun-2017, 33.30, 32.55, 33.40, 31.90, 33.15, 32.60, 32.54, 13233, 4.31, 77, -, -
BEL, EQ, 29-Jun-2017, 159.75, 160.65, 162.50, 159.15, 159.95, 160.00, 161.24, 2144274, 3457.45, 20042, 1058550, 49.37
