SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
HERITGFOOD, EQ, 29-Jun-2017, 1047.90, 1044.00, 1096.00, 1044.00, 1090.00, 1085.50, 1075.89, 40199, 432.50, 2802, 25488, 63.40
HEROMOTOCO, EQ, 29-Jun-2017, 3688.45, 3700.00, 3735.95, 3682.00, 3724.50, 3716.35, 3706.91, 384888, 14267.47, 31569, 198187, 51.49
HESTERBIO, EQ, 29-Jun-2017, 879.50, 886.00, 901.85, 875.00, 901.85, 895.05, 889.37, 635, 5.65, 116, 409, 64.41
HEXATRADEX, EQ, 29-Jun-2017, 18.85, 19.50, 19.50, 18.80, 19.00, 19.00, 19.03, 10900, 2.07, 25, 8879, 81.46
HEXAWARE, EQ, 29-Jun-2017, 242.10, 243.10, 250.80, 243.10, 247.50, 247.45, 246.00, 859412, 2114.16, 8224, 99188, 11.54
HFCL, EQ, 29-Jun-2017, 12.05, 12.10, 12.35, 12.05, 12.10, 12.10, 12.17, 1008521, 122.70, 771, 594464, 58.94
HGS, EQ, 29-Jun-2017, 519.55, 520.00, 530.00, 512.25, 517.00, 519.70, 520.42, 7422, 38.63, 476, 5092, 68.61
HIGHGROUND, EQ, 29-Jun-2017, 14.45, 14.60, 16.85, 14.50, 16.00, 16.05, 15.94, 2347821, 374.21, 5356, 620154, 26.41
HIKAL, EQ, 29-Jun-2017, 202.75, 205.25, 205.90, 202.05, 202.80, 202.95, 204.18, 13421, 27.40, 518, 9558, 71.22
HIL, EQ, 29-Jun-2017, 946.90, 949.50, 990.00, 949.50, 971.90, 970.40, 975.15, 44757, 436.45, 2823, 16831, 37.61
HILTON, EQ, 29-Jun-2017, 32.10, 32.50, 33.85, 32.25, 32.45, 32.45, 32.79, 43188, 14.16, 261, 27793, 64.35
HIMATSEIDE, EQ, 29-Jun-2017, 339.85, 338.00, 347.75, 334.00, 334.90, 335.95, 340.60, 87093, 296.64, 1930, 29686, 34.09
HINDALCO, EQ, 29-Jun-2017, 189.85, 192.00, 193.60, 191.40, 191.95, 192.20, 192.63, 7868064, 15156.31, 57413, 3025682, 38.46
HINDCOMPOS, EQ, 29-Jun-2017, 584.80, 580.55, 592.90, 580.50, 591.95, 590.60, 589.23, 2762, 16.27, 258, 2028, 73.43
HINDCOPPER, EQ, 29-Jun-2017, 62.85, 64.00, 64.75, 64.00, 64.40, 64.20, 64.32, 391522, 251.83, 3273, 151824, 38.78
HINDMOTORS, EQ, 29-Jun-2017, 7.85, 8.15, 8.15, 7.65, 8.10, 8.00, 7.92, 241907, 19.15, 453, 117936, 48.75
HINDNATGLS, EQ, 29-Jun-2017, 88.95, 85.00, 90.75, 85.00, 90.45, 90.00, 89.74, 908, 0.81, 44, 503, 55.40
HINDOILEXP, EQ, 29-Jun-2017, 71.05, 72.00, 73.40, 71.60, 71.70, 72.30, 72.55, 533915, 387.37, 4001, 188977, 35.39
HINDPETRO, EQ, 29-Jun-2017, 512.75, 510.00, 519.90, 506.90, 508.35, 508.20, 512.37, 2680213, 13732.50, 33517, 1342433, 50.09
HINDUJAVEN, EQ, 29-Jun-2017, 458.10, 467.50, 467.50, 458.85, 460.00, 461.15, 462.03, 3133, 14.48, 81, 2434, 77.69
HINDUNILVR, EQ, 29-Jun-2017, 1090.00, 1094.65, 1094.65, 1084.25, 1087.00, 1088.10, 1090.93, 1771369, 19324.40, 30968, 1376094, 77.69
HINDZINC, EQ, 29-Jun-2017, 260.35, 262.00, 263.90, 259.20, 262.00, 262.05, 261.70, 3157979, 8264.55, 19794, 1913556, 60.59
HIRECT, EQ, 29-Jun-2017, 91.10, 93.55, 93.55, 90.10, 90.55, 90.60, 91.21, 2722, 2.48, 149, 644, 23.66
HISARMETAL, EQ, 29-Jun-2017, 45.15, 48.75, 48.75, 48.75, 48.75, 48.75, 48.75, 1, 0.00, 1, 1, 100.00
HITECH, SM, 29-Jun-2017, 151.00, 152.00, 156.00, 152.00, 156.00, 155.95, 154.56, 10500, 16.23, 7, 10500, 100.00
HITECHCORP, EQ, 29-Jun-2017, 218.25, 219.00, 222.80, 217.00, 218.50, 217.50, 218.80, 10353, 22.65, 303, 6216, 60.04
HITECHGEAR, EQ, 29-Jun-2017, 343.20, 348.50, 354.00, 342.00, 343.00, 343.30, 347.05, 6064, 21.04, 337, 2968, 48.94
HMT, BZ, 29-Jun-2017, 37.50, 37.50, 37.80, 37.00, 37.55, 37.55, 37.53, 853, 0.32, 15, -, -
HMVL, EQ, 29-Jun-2017, 272.65, 274.80, 277.80, 272.00, 272.50, 272.80, 274.23, 3674, 10.08, 154, 2787, 75.86
HNGSNGBEES, EQ, 29-Jun-2017, 2365.00, 2405.00, 2405.00, 2405.00, 2405.00, 2405.00, 2405.00, 1, 0.02, 1, 1, 100.00
HOCL, EQ, 29-Jun-2017, 24.35, 24.60, 25.20, 24.40, 24.75, 24.60, 24.81, 40303, 10.00, 206, 30813, 76.45
HONAUT, EQ, 29-Jun-2017, 11619.35, 11556.15, 11694.95, 11510.00, 11650.00, 11652.85, 11637.60, 395, 45.97, 221, 298, 75.44
HONDAPOWER, EQ, 29-Jun-2017, 1333.60, 1339.00, 1360.00, 1336.00, 1344.50, 1351.65, 1348.51, 1858, 25.06, 321, 1533, 82.51
HOTELEELA, EQ, 29-Jun-2017, 21.40, 21.60, 21.90, 21.00, 21.15, 21.20, 21.37, 336797, 71.96, 788, 167588, 49.76
HOVS, BE, 29-Jun-2017, 309.15, 322.00, 322.00, 304.00, 314.00, 313.00, 315.28, 9430, 29.73, 201, -, -
HPL, EQ, 29-Jun-2017, 133.65, 136.00, 137.50, 130.55, 131.30, 131.85, 133.35, 274273, 365.73, 1553, 127501, 46.49
HSCL, EQ, 29-Jun-2017, 74.60, 75.00, 75.90, 74.30, 75.65, 75.75, 75.17, 792263, 595.57, 2975, 452693, 57.14
HSIL, EQ, 29-Jun-2017, 368.90, 368.90, 374.40, 365.65, 367.55, 368.05, 369.91, 41181, 152.33, 1647, 19003, 46.15
HTMEDIA, EQ, 29-Jun-2017, 81.45, 81.75, 82.20, 80.50, 81.00, 80.80, 81.20, 46444, 37.71, 408, 33833, 72.85
HUBTOWN, EQ, 29-Jun-2017, 114.40, 115.40, 120.25, 115.40, 119.55, 119.10, 118.71, 386427, 458.74, 5660, 210897, 54.58
HUDCO, EQ, 29-Jun-2017, 66.10, 66.40, 68.15, 66.25, 67.80, 67.85, 67.29, 1866113, 1255.75, 15185, 1069529, 57.31
HUDCO, N2, 29-Jun-2017, 1208.00, 1194.60, 1194.60, 1194.60, 1194.60, 1194.60, 1194.60, 3, 0.04, 1, 3, 100.00
HUDCO, N3, 29-Jun-2017, 1118.00, 1116.90, 1117.05, 1114.00, 1117.00, 1117.00, 1116.84, 2624, 29.31, 60, 2525, 96.23
HUDCO, N4, 29-Jun-2017, 1079.50, 1080.00, 1080.00, 1080.00, 1080.00, 1080.00, 1080.00, 50, 0.54, 1, 50, 100.00
HUDCO, N9, 29-Jun-2017, 1163.00, 1168.00, 1170.00, 1163.00, 1168.00, 1167.99, 1168.23, 1785, 20.85, 14, 1783, 99.89
IBREALEST, EQ, 29-Jun-2017, 205.50, 205.75, 211.00, 205.35, 208.85, 209.35, 207.82, 15004034, 31182.05, 58038, 2151329, 14.34
IBULHSGFIN, EQ, 29-Jun-2017, 1075.15, 1080.00, 1108.35, 1080.00, 1100.00, 1095.60, 1096.52, 1839371, 20169.10, 38911, 1017570, 55.32
IBULHSGFIN, NA, 29-Jun-2017, 1084.99, 1084.00, 1084.00, 1084.00, 1084.00, 1084.00, 1084.00, 1, 0.01, 1, 1, 100.00
IBVENTURES, EQ, 29-Jun-2017, 175.05, 176.50, 178.30, 171.20, 173.55, 173.80, 175.15, 1205578, 2111.55, 9177, 416456, 34.54
ICICIBANK, EQ, 29-Jun-2017, 290.35, 291.50, 296.90, 290.10, 294.20, 293.25, 293.07, 34774280, 101913.86, 131089, 27373391, 78.72
ICICIPRULI, EQ, 29-Jun-2017, 457.55, 458.00, 475.80, 457.80, 473.85, 473.65, 469.09, 2472285, 11597.13, 47116, 1666897, 67.42
ICIL, EQ, 29-Jun-2017, 168.55, 168.80, 172.80, 166.00, 172.80, 171.40, 170.46, 808166, 1377.57, 6975, 311200, 38.51
ICRA, EQ, 29-Jun-2017, 4028.60, 4028.95, 4228.95, 4000.00, 4019.00, 4013.30, 4078.42, 3092, 126.10, 831, 1898, 61.38
ICSA, EQ, 29-Jun-2017, 2.65, 2.65, 2.70, 2.65, 2.65, 2.65, 2.66, 19837, 0.53, 35, 19837, 100.00
IDBI, EQ, 29-Jun-2017, 54.05, 54.20, 54.75, 53.20, 53.60, 53.40, 53.74, 6224586, 3345.20, 13342, 2209152, 35.49
IDBIGOLD, EQ, 29-Jun-2017, 2641.00, 2627.30, 2688.00, 2622.05, 2622.05, 2622.05, 2632.59, 15, 0.39, 14, 11, 73.33
IDEA, EQ, 29-Jun-2017, 83.50, 83.95, 85.45, 83.30, 83.85, 84.35, 84.37, 19731806, 16648.38, 36867, 8953801, 45.38
IDFC, EQ, 29-Jun-2017, 55.60, 55.70, 56.20, 54.65, 55.30, 55.15, 55.23, 24714221, 13649.09, 41540, 12640269, 51.15
IDFCBANK, EQ, 29-Jun-2017, 55.30, 55.75, 55.75, 54.60, 54.90, 54.90, 55.11, 21488899, 11843.12, 42654, 10623582, 49.44
IDFCBANK, N1, 29-Jun-2017, 5112.50, 5101.00, 5120.00, 5101.00, 5120.00, 5120.00, 5108.26, 8, 0.41, 3, 6, 75.00
IDFCBANK, N2, 29-Jun-2017, 8015.00, 8030.00, 8030.00, 8005.00, 8021.00, 8022.60, 8018.07, 22, 1.76, 6, 22, 100.00
IDFCBANK, N3, 29-Jun-2017, 4950.00, 4950.00, 4950.00, 4950.00, 4950.00, 4950.00, 4950.00, 4, 0.20, 1, 4, 100.00
IDFCBANK, N4, 29-Jun-2017, 7571.00, 7547.00, 7586.00, 7547.00, 7586.00, 7586.00, 7557.22, 34, 2.57, 9, 26, 76.47
IDFCBANK, N6, 29-Jun-2017, 7781.00, 7775.00, 7775.00, 7775.00, 7775.00, 7775.00, 7775.00, 12, 0.93, 3, 12, 100.00
IDFCBANK, N8, 29-Jun-2017, 7861.00, 7850.00, 7850.00, 7850.00, 7850.00, 7850.00, 7850.00, 4, 0.31, 1, 4, 100.00
IDFCBANK, N9, 29-Jun-2017, 5300.00, 5300.00, 5300.00, 5300.00, 5300.00, 5300.00, 5300.00, 4, 0.21, 1, 4, 100.00
IDFCBANK, NA, 29-Jun-2017, 7916.00, 7870.05, 7895.00, 7870.05, 7895.00, 7895.00, 7882.53, 8, 0.63, 2, 4, 50.00
IDFCBANK, NB, 29-Jun-2017, 5142.00, 5150.00, 5155.00, 5142.00, 5155.00, 5155.00, 5144.09, 35, 1.80, 11, 35, 100.00
IDFCBANK, NC, 29-Jun-2017, 7672.00, 7672.00, 7672.00, 7655.00, 7666.00, 7667.34, 7659.27, 41, 3.14, 13, 36, 87.80
IDFCBANK, NE, 29-Jun-2017, 7340.00, 7331.05, 7331.05, 7331.00, 7331.00, 7331.00, 7331.02, 12, 0.88, 3, 8, 66.67
IDFNIFTYET, EQ, 29-Jun-2017, 95.63, 95.75, 96.16, 95.75, 96.16, 96.16, 95.75, 7530, 7.21, 4, 7530, 100.00
IFBAGRO, EQ, 29-Jun-2017, 422.00, 420.90, 430.90, 414.00, 416.65, 417.20, 421.64, 9420, 39.72, 561, 4240, 45.01
IFBIND, EQ, 29-Jun-2017, 723.75, 723.80, 739.90, 711.10, 722.50, 718.10, 730.82, 16526, 120.78, 859, 5613, 33.96
IFCI, EQ, 29-Jun-2017, 24.00, 24.00, 24.30, 23.90, 24.25, 24.10, 24.11, 7036123, 1696.15, 5890, 2559082, 36.37
IFCI, ND, 29-Jun-2017, 1250.00, 1265.25, 1265.25, 1265.25, 1265.25, 1265.25, 1265.25, 20, 0.25, 1, 20, 100.00
IFCI, NH, 29-Jun-2017, 1105.00, 1085.00, 1085.00, 1060.00, 1060.00, 1060.00, 1067.92, 50, 0.53, 3, 50, 100.00
IFCI, NI, 29-Jun-2017, 1250.00, 1360.00, 1360.00, 1360.00, 1360.00, 1360.00, 1360.00, 109, 1.48, 1, 109, 100.00
IFCI, NJ, 29-Jun-2017, 1010.50, 1010.50, 1012.50, 1010.50, 1012.50, 1012.50, 1011.45, 19, 0.19, 3, 19, 100.00
IFCI, NK, 29-Jun-2017, 1190.00, 1194.00, 1194.00, 1190.00, 1190.00, 1190.01, 1190.35, 301, 3.58, 18, 297, 98.67
IFCI, NL, 29-Jun-2017, 1027.95, 1028.00, 1028.00, 1028.00, 1028.00, 1028.00, 1028.00, 1034, 10.63, 5, 1034, 100.00
IFGLREFRAC, EQ, 29-Jun-2017, 233.60, 235.00, 235.15, 226.10, 226.10, 228.40, 229.64, 4211, 9.67, 174, 2619, 62.19
IGARASHI, EQ, 29-Jun-2017, 964.75, 976.20, 998.00, 968.10, 980.00, 985.55, 981.01, 29718, 291.54, 3860, 12392, 41.70
IGL, EQ, 29-Jun-2017, 1036.15, 1044.00, 1062.00, 1040.55, 1052.90, 1052.75, 1054.04, 365656, 3854.15, 13277, 40939, 11.20
IGPL, EQ, 29-Jun-2017, 391.55, 393.55, 407.80, 393.10, 393.10, 395.55, 398.74, 31848, 126.99, 1896, 17445, 54.78
IIFCL, N4, 29-Jun-2017, 1280.00, 1275.05, 1305.00, 1275.04, 1300.00, 1300.00, 1280.63, 1344, 17.21, 10, 1145, 85.19
IIFL, EQ, 29-Jun-2017, 557.20, 560.00, 610.00, 560.00, 609.95, 603.15, 594.76, 588418, 3499.68, 22175, 129962, 22.09
IIFLFIN, N5, 29-Jun-2017, 1045.47, 1046.56, 1047.30, 1046.00, 1047.30, 1047.30, 1046.89, 356, 3.73, 16, 356, 100.00
IIFLFIN, N7, 29-Jun-2017, 1845.00, 1807.21, 1847.50, 1807.21, 1847.00, 1847.00, 1843.08, 99, 1.82, 6, 99, 100.00
IIFLFIN, NA, 29-Jun-2017, 1036.00, 1036.09, 1046.00, 1036.09, 1046.00, 1046.00, 1037.37, 87, 0.90, 3, 83, 95.40
IIHFL, N1, 29-Jun-2017, 1043.06, 1039.11, 1044.24, 1039.10, 1039.10, 1039.91, 1039.98, 670, 6.97, 22, 556, 82.99
IIHFL, N2, 29-Jun-2017, 1080.00, 1081.15, 1084.89, 1081.10, 1084.89, 1084.89, 1081.57, 1001, 10.83, 8, 1001, 100.00
IIHFL, N3, 29-Jun-2017, 1555.00, 1520.01, 1520.01, 1520.01, 1520.01, 1520.01, 1520.01, 7, 0.11, 1, 7, 100.00
IITL, EQ, 29-Jun-2017, 70.05, 73.40, 73.40, 70.70, 72.70, 72.70, 72.09, 260, 0.19, 3, 260, 100.00
IL&FSENGG, EQ, 29-Jun-2017, 43.20, 44.00, 45.20, 42.75, 43.00, 43.20, 43.98, 275548, 121.20, 1132, 120558, 43.75
IL&FSTRANS, EQ, 29-Jun-2017, 94.65, 95.45, 96.95, 95.45, 95.75, 96.05, 96.32, 102069, 98.32, 1156, 51253, 50.21
